,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA),View the collection
3639,Zarafa,75%,65%,,"animation,adventure,kidsandfamily,history,drama",French(Canada),"RémiBezançon,Jean-ChristopheLie","ChristopheJankovic,ValérieSchermann",RémiBezançon,"Jul3,2015 limited","Nov4,2016",1h18m,"ScopePictures,Pathé,Chaocorp,France3Cinéma,PrimaLineaProductions",,,,
3640,Self/Less,19%,46%,PG-13(SequencesofViolence|Language|SomeSexuality),"scifi,mysteryandthriller,action",English,Tarsem,"RamBergman,JamesD.Stern,PeterSchlessel","ÀlexPastor,DavidPastor","Jul10,2015 wide","Aug16,2016",1h56m,RamBergman,,,$12.3M,
3641,Shaun The Sheep Movie,99%,81%,PG(RudeHumor),"adventure,animation,comedy,kidsandfamily",English,"MarkBurton,RichardStarzak","JulieLockhart,PaulKewley","MarkBurton,RichardStarzak","Aug5,2015 wide","Jun1,2016",1h25m,"AardmanAnimations,AntonCapitalEntertainment,StudioCanal",,,$19.4M,
3642,Terminator Genisys,27%,53%,PG-13(GunplayThroughout|BriefStrongLanguage|IntenseSci-FiViolence|PartialNudity),"scifi,action",English,AlanTaylor,"DavidEllison,DanaGoldberg","LaetaKalogridis,PatrickLussier","Jul1,2015 wide","Jun7,2016",2h6m,SkydanceProductions,Scope(2.35:1),"DolbyDigital,Datasat",$89.8M,Terminator
3643,The Square (Al Midan),100%,90%,,documentary,Arabic,JehaneNoujaim,KarimAmer,,"Oct25,2013 limited","Mar10,2017",1h44m,"NoujaimFilms,RoastBeefProductions,WorldviewEntertainment",,,,
3644,Trainwreck,85%,66%,R(Nudity|Language|SomeDrugUse|StrongSexualContent),romance,English,JuddApatow,"JuddApatow,BarryMendel",AmySchumer,"Jul17,2015 wide","Sep6,2016",2h5m,ApatowProductions,,DolbyDigital,,
3645,Trash,66%,70%,R(Violence|Language),"adventure,mysteryandthriller,comedy,drama",Portuguese(Brazil),StephenDaldry,"TimBevan,EricFellner,KrisThykier",RichardCurtis,"Oct9,2015 limited","Oct9,2015",1h53m,WorkingTitleFilms,,DolbyDigital,$10.2K,
3646,American Ultra,43%,45%,R(LanguageThroughout|DrugUse|SomeSexualContent|StrongBloodyViolence),"action,comedy",English,NimaNourizadeh,"AnthonyBregman,KevinScottFrakes,RajBrinderSingh,DavidAlpert,BrittonRizzio",MaxLandis,"Aug21,2015 wide","May13,2016",1h36m,"PalmStarMedia,CircleofConfusion",,,$14.4M,
3647,Ricki And The Flash,65%,43%,PG-13(Language|BriefDrugContent|Sexuality|ThematicMaterial),"comedy,drama",English,JonathanDemme,"MarcPlatt,GaryGoetzman,DiabloCody,MasonNovick",DiabloCody,"Aug7,2015 wide","Nov4,2016",1h40m,"ClinicaEstetico,TriStarPictures,LStarCapital",Scope(2.35:1),DolbyDigital,$26.8M,
3648,A Hard Day,83%,77%,,"mysteryandthriller,action",Korean,Seong-hoonKim,,Seong-hoonKim,"Jul17,2015 limited","May26,2016",1h50m,,,DolbySRD,,
3649,No Escape,47%,62%,R(StrongViolenceThroughout|Language),"mysteryandthriller,action",English,JohnErickDowdle,"DrewDowdle,MichelLitvak,DavidLancaster","JohnErickDowdle,DrewDowdle","Aug26,2015 wide","Nov30,2016",1h43m,"BoldFilms,LivingFilms,BrothersDowdle",,,$27.3M,
3650,We'll Never Have Paris,33%,18%,R(SexualContent|Language),romance,English,"SimonHelberg,JocelynTowne","RobertOgdenBarnum,SimonHelberg,KatieMustard",SimonHelberg,"Jan23,2015 limited","Apr14,2016",1h35m,"BifrostPictures,E2BCapital,TheBridgeFinanceCompany",,,,
3651,Gringo Trails,71%,70%,,documentary,English,PegiVail,"MelvinEstrella,PegiVail",PegiVail,,"Aug10,2016",1h19m,,,,,
3652,Guidance,88%,56%,,comedy,English,PatMills,"AlysonRichards,MikeMacMillan",PatMills,"Aug21,2015 limited","Jul16,2016",1h21m,,,,$4.4K,
3653,Far From Men,84%,72%,,drama,French(Canada),DavidOelhoffen,"MarcduPontavice,MatthewGledhill",DavidOelhoffen,"May1,2015 limited","Aug10,2016",1h42m,,,,,
3654,Sand Dollars (Dolares De Arena),94%,46%,,"romance,drama",Spanish,"LauraAmeliaGuzmán,IsraelCárdenas","LauraAmeliaGuzmán,IsraelCárdenas","LauraAmeliaGuzmán,IsraelCárdenas",,"Nov30,2016",1h24m,,,,,
3655,Kurt Cobain: Montage Of Heck,97%,81%,,documentary,English,BrettMorgen,"BrettMorgen,DanielleRenfewBehrens",,"Apr24,2015 limited","Nov30,2016",2h12m,"EndofMusic,HBODocumentaryFilms,PublicRoadProds.,UniversalPicturesIntl.Entertainment",,,,
