,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA),View the collection
5322,A Hijacking,96%,76%,R(Language),"mysteryandthriller,drama",Danish,TobiasLindholm,"ReneEzra,TomasRadoor",,"Jun14,2013 limited","Aug10,2016",1h39m,NordiskFilm,,,$413.3K,
5323,Shepard & Dark,86%,71%,,drama,English,TrevaWurmfeld,AmyHobby,,,"Aug10,2016",1h32m,,,,$7.8K,
5324,Before Midnight,98%,82%,R(SexualContent/Nudity|Language),"romance,drama",English,RichardLinklater,"RichardLinklater,ChristosV.Konstantakopoulos,SaraWoodhatch","RichardLinklater,JulieDelpy,EthanHawke","May24,2013 limited","Sep7,2014",1h49m,"FaliroHouse,CastleRockEntertainment,VentureForth",,,$8.1M,
5325,Almost Perfect,67%,NaN,,"romance,comedy,drama",English,BerthaBay-Sa-Pan,"RivaMarker,BerthaBay-Sa-Pan,DerrickTseng",BerthaBay-Sa-Pan,,"Aug10,2016",1h46m,,,,,
5326,Paradise: Faith,73%,53%,,drama,German,UlrichSeidl,UlrichSeidl,"UlrichSeidl,VeronikaFranz",,"Aug10,2016",1h59m,"UlrichSeidlFilmProduktionGmbH,SociétéParisiennedeProduction,Tatfilm",,,,
5327,The Way Way Back,84%,84%,PG-13(Language|BriefDrugMaterial|SomeSexualContent|ThematicElements),"comedy,drama",English,"NatFaxon,JimRash","KevinJ.Walsh,TomRice","NatFaxon,JimRash","Jul26,2013 wide","Nov19,2015",1h43m,"SycamorePictures,OddLotEntertainment,DoubleyouInc.",,DolbyDigital,$21.4M,
5328,Jug Face,76%,36%,R(BloodyViolence|Language|BriefSexuality),horror,English,ChadCrawfordKinkle,"RobertTonino,AndrewvandenHouten",ChadCrawfordKinkle,"Aug9,2013 limited","Nov30,2016",1h21m,Modernciné,,,,
5329,Kevin Hart: Let Me Explain,61%,72%,R(SexualReferences|PervasiveLanguage),comedy,English,"LeslieSmall,TimStory",JeffClanagan,,"Jul3,2013 wide","Jul26,2014",1h15m,CodeBlackFilms,,,$32.2M,
5330,Dirty Wars,85%,74%,,documentary,English,RickRowley,"AnthonyArnove,JeremyScahill,BrendaCoughlin","DavidRiker,JeremyScahill","Jun7,2013 limited","Jul1,2016",1h26m,BigNoiseFilms,,,$365.6K,
5331,The Colony,21%,22%,,"scifi,mysteryandthriller",English,JeffRenfroe,"PaulBarkin,PierreEven,Marie-ClaudePoulin,MatthewCervi","JeffRenfroe,PatrickTarr,PascalTrottier",,"Sep6,2016",1h33m,Alcina,,,,
5332,As Cool As I Am,14%,25%,R(SomeTeenDrinking|SexualContent|AnAssault),"comedy,drama",English,MaxMayer,"MattWilliams,AnthonyMastromauro,JuddPayne",VirginiaKorusSpragg,"Jun7,2013 limited","Dec5,2016",1h32m,"IdentityFilms,WindDancerProductions",,,,
5333,Drug War,94%,77%,R(StrongViolence|Language|DrugContent),"crime,action,drama",Chinese,JohnnieTo,JohnnieTo,"RykerChan,Ka-FaiWai,Nai-HoiYau,XiYu","Jul26,2013 limited","Oct14,2013",1h45m,"CCTVMovieChannel,MilkyWayImage,HuaxiaFilmDistributionCompany,BeijingHairunPicturesCompany,HairunMovies&TVGroup",,,$127.9K,
5334,Just Like A Woman,13%,33%,PG-13(Language|ASceneofSexuality),drama,English,RachidBouchareb,"JeanBréhat,CharlesS.Cohen,AllenBain","JoelleTouma,MarionDoussot","Jul5,2013 limited","Aug10,2016",1h30m,"DohaFilmInstitute,MinervaPicturesGroup,CohenMediaGroup",,,,
5335,Bounty Killer,59%,45%,R(StrongBloodyViolence|SomeSexuality/Nudity|Language),"scifi,action",English,HenrySaine,"HenrySaine,JasonNetter,ColinEbeling","JasonDodson,ColinEbeling,HenrySaine",,"Jun7,2016",1h33m,JustChorizoProductions,,,,
5336,Who Needs Enemies,33%,58%,,"crime,mysteryandthriller,drama",English(UnitedKingdom),PeterStylianou,TonyCurrier,PeterStylianou,,"Mar3,2017",1h31m,,,,,
5337,Sherlock Jr.,96%,95%,,"comedy,drama",,BusterKeaton,"JosephM.Schenck,BusterKeaton",,,"Jul9,2019",48m,BusterKeatonProductionsInc.[us],,,,
5338,The Big Parade,100%,91%,,war,,KingVidor,"KevinBrownlow,DavidGill",,,"Dec3,2013",2h6m,Metro-Goldwyn-Mayer,,,,
5339,I Married A Witch,95%,69%,,fantasy,English,RenéClair,"PrestonSturges,RenéClair","RobertPirosh,MarcConnelly",,"Nov11,2016",1h16m,"Paramount,UnitedArtists",,,,
5340,The Croods,71%,77%,PG(SomeScaryAction),"adventure,animation,comedy,kidsandfamily",English,"ChristopherSanders,KirkDeMicco","KristineBelson,JaneHartwell","KirkDeMicco,ChristopherSanders","Mar22,2013 wide","Nov25,2015",1h31m,GizmoProds.,Scope(2.35:1),"DTS,Datasat,SDDS,DolbyAtmos,DolbyDigital",$187.2M,
5341,Ain't In It For My Health: A Film About Levon Helm,87%,76%,,documentary,English,JacobHatley,"MaryPosatko,KennethSegna",,,"Mar22,2016",1h23m,,,,$94.8K,
5342,Mars,86%,NaN,,"romance,animation",English,GeoffMarslett,,GeoffMarslett,,"Sep15,2016",1h30m,,,,,
5343,Midnight's Children,41%,39%,,drama,English,DeepaMehta,DavidHamilton,SalmanRushdie,"Apr26,2013 limited","Mar11,2017",2h28m,Number9Films,,,$139.6K,
5344,Much Ado About Nothing,86%,77%,PG-13(SomeSexuality|BriefDrugUse),romance,English,JossWhedon,JossWhedon,JossWhedon,"Jun21,2013 wide","Nov21,2015",1h49m,BellwetherPictures,,,$4.3M,
5345,The Hangover Part III,20%,44%,R(DrugContent|BriefGraphicNudity|PervasiveLanguage|SexualReferences|SomeViolence),comedy,English,ToddPhillips,"ToddPhillips,DanGoldberg","ToddPhillips,CraigMazin","May23,2013 wide","Dec8,2015",1h40m,GreenHatFilms,,"Datasat,SDDS,DolbyDigital",$112.2M,
5346,After Earth,11%,36%,PG-13(SomeDisturbingImages|Sci-FiActionViolence),"adventure,scifi,action",English,M.NightShyamalan,"CaleebPinkett,JadaPinkettSmith,WillSmith,JamesLassiter,M.NightShyamalan","GaryWhitta,M.NightShyamalan","May31,2013 wide","Sep7,2014",1h39m,"BlindingEdgePictures,OverbrookEntertainment",,"SDDS,DolbyDigital,Datasat",$60.5M,
5347,Pilgrim Song,20%,64%,,drama,English,MarthaStephens,,"KarrieCrouse,MarthaStephens",,"Apr12,2017",1h56m,,,,,
5348,This Is The End,83%,71%,R(CrudeandSexualContent|BriefGraphicNudity|DrugUse|PervasiveLanguage|SomeViolence),"comedy,fantasy",English,"SethRogen,EvanGoldberg","SethRogen,EvanGoldberg,JamesWeaver","SethRogen,EvanGoldberg","Jun12,2013 wide","Feb1,2015",1h47m,"PointGrey,MandatePictures",,"Datasat,SDDS,DolbyDigital",$101.5M,
5349,The Look Of Love,54%,34%,,"drama,biography",English,MichaelWinterbottom,"MelissaParmenter,AliceDawson,JoshHyams",MattGreenhalgh,"Jul5,2013 limited","Aug26,2015",1h41m,"RevolutionFilms,BabyCowProductions",,,$14.6K,
5350,Aliyah,83%,54%,,drama,French(Canada),ElieWajeman,"LolaGans,StéphaneLehembre,YovMoor","GaëlleMacé,ElieWajeman",,"Mar17,2017",1h27m,,,,,
5351,My Father And The Man In Black,65%,81%,,documentary,English,JonathanHoliff,"JonathanHoliff,TanyaLynNazarec,JenniferPhillips",JonathanHoliff,,"Feb15,2017",1h30m,,,,,
5352,Vampira And Me,86%,80%,,documentary,English,RayGreene,RayGreene,,,"Feb17,2016",1h45m,Protagonist,,,,
5353,Mea Maxima Culpa: Silence In The House Of God,98%,90%,,documentary,English,AlexGibney,"NicolettaBilli,TrevorBirney,AlexGibney,AlexandraJohnes,RuthO'reilly",,,"Mar10,2016",1h47m,"JigsawProds.,WiderFilmProjects",,,,
5354,Resolution,85%,64%,,"mysteryandthriller,horror",English,"JustinBenson,AaronMoorhead","JustinBenson,JohnRogers,DavidClarkeLawsonJr.",JustinBenson,,"Apr27,2016",1h33m,TribecaFilmCenter,,,,
5355,Curse Of Chucky,76%,56%,R(Language|BloodyHorrorViolence),horror,English,DonMancini,DavidKirschner,DonMancini,,"Apr22,2014",1h35m,Universal1440Entertainment,,,,Chucky
5356,A Girl And A Gun,25%,44%,,documentary,English,CathryneCzubek,"CathryneCzubek,JessicaWolfson","CathryneCzubek,AmandaHughes","Jul3,2013 limited","Sep5,2016",1h16m,,,,$3.0K,
5357,The Purge,40%,36%,R(StrongDisturbingViolence|SomeLanguage),"mysteryandthriller,horror",English,JamesDeMonaco,"JasonBlum,SebastienK.Lemercier,MichaelBay,AndrewForm,BradFuller",JamesDeMonaco,"Jun7,2013 wide","Nov4,2015",1h25m,"PlatinumDunes,WhyNotProductions,Blumhouse",,"SDDS,DolbySRD,DTS",,ThePurge
5358,The Lifeguard,16%,26%,R(BriefGraphicNudity|ADisturbingImage|StrongSexuality|DrugUse|Language|SomeInvolvingTeens),"comedy,drama",English,LizW.Garcia,"MilanChakraborty,LizW.Garcia,JoshuaHarto,RyanAlanDearth",LizW.Garcia,"Aug30,2013 limited","May23,2016",1h38m,"CPlusPictures,AtticLightFilms,LaPistola",,,,
5359,Stuck In Love,57%,68%,R(SomeSexualContent|Language|TeenDrugandAlcoholUse),"comedy,drama",English,JoshBoone,JudyCairo,JoshBoone,"Jul5,2013 limited","May22,2017",1h37m,"InformantMedia,TroyEntertainment,MICAEntertainment",,,$79.0K,
5360,We Steal Secrets: The Story Of Wikileaks,92%,75%,R(SexualMaterial|Language|SomeDisturbingViolentImages),documentary,English,AlexGibney,"AlexGibney,MarcShmuger,AlexisBloom",AlexGibney,"May24,2013 limited","Jan9,2016",2h10m,"GlobalProduce,UniversalPictures",,,$158.9K,
5361,Europa Report,81%,57%,PG-13(Sci-FiActionandPeril),"scifi,mysteryandthriller",English,SebastiánCordero,BenBrowning,PhilipGelatt,"Aug2,2013 limited","Nov29,2016",1h29m,WayfareEntertainment,,,$125.5K,
5362,Home Run,50%,81%,PG-13(SomeMatureThematicMaterial),drama,English,DavidBoyd,"CarolSpannMathews,TomNewman","BrianBrightly,MelanieWistar,EricNewman,CandaceLee","Apr19,2013 limited","May22,2017",1h53m,,,,$2.9M,
5363,The Frozen Ground,61%,50%,R(Language|DrugUse|Sexuality/Nudity|ViolentContent),mysteryandthriller,English,ScottWalker,"50Cent,RandallEmmett,JaneFleming,DamaClaire",ScottWalker,"Aug23,2013 limited","Nov21,2015",1h45m,GrindstoneEntertainmentGroup,,"SDDS,DolbyDigital,DTS",,
5364,100 Bloody Acres,79%,47%,,"comedy,horror",English,"ColinCairnes,CameronCairnes","JulieRyan,KateCroser","ColinCairnes,CameronCairnes","Jun28,2013 limited","Aug10,2016",1h31m,"CyanFilms,MajorInternationalPictures",,,$6.2K,
5365,Assaulted: CIVIL Rights Under Fire,60%,93%,PG-13(BriefStrongLanguage|ViolentDisturbingImages),documentary,English,KrisKoenig,"AnitaIngrao,EricKatzenberg,KrisKoenig",KrisKoenig,,"Feb23,2017",1h19m,DeadPatriotFilms,,,$6.8K,
5366,Nothing Left To Fear,9%,16%,R(SomeLanguage|DisturbingViolentContent),horror,English,AnthonyLeonardiIII,"AlisonPalmerBourke,ToddDagres,RobEric,Slash,MichaelWilliams",JonathanW.C.Mills,"Oct4,2013 limited","Apr1,2017",1h40m,UploadFilms,,,$7.9K,
5367,Butcher Boys,0%,20%,R(SomeSexualContent|Nudity|Language|StrongViolence),horror,English,"DuaneGraves,JustinMeeks","IanHenkel,KimHenkel",KimHenkel,,"Oct8,2013",1h33m,KitchenSinkEntertainment,,,,
5368,Sometimes A Great Notion (Never Give An Inch),100%,76%,PG,drama,English,PaulNewman,JohnForeman,JohnGay,,"Nov30,2016",1h54m,UniversalPictures,,Stereo,,
5369,Stick,29%,36%,R,"crime,drama",English,BurtReynolds,,,,"Sep11,2015",1h49m,UniversalPictures,,Surround,,
5370,World War Z,66%,72%,PG-13(IntenseFrighteningZombieSeq|DisturbingImages|Violence),"action,horror",English,MarcForster,"BradPitt,DedeGardner,JeremyKleiner,IanBryce",MatthewMichaelCarnahan,"Jun21,2013 wide","Jun7,2015",1h55m,"PlanBFilms,2DUX2",,"Datasat,Dolby",$202.4M,
5371,I Spit On Your Grave 2,0%,30%,R(Language|GraphicNudity|SomeDrugUse|StrongSadisticViolence|TortureandRape),horror,English,StevenR.Monroe,LisaM.Hansen,"NeilElman,ThomasFenton",,"Nov30,2016",1h40m,CineTelFilms,,,$441,
5372,Scenic Route,67%,50%,R(SomeViolence|Language|ASceneofSexuality),"mysteryandthriller,drama",English,"KevinGoetz,MichaelGoetz","AmiArmstrong,ScottFreeman,BrionHambel,PaulJensen,LukeRivett",KyleKillen,"Aug23,2013 limited","Dec6,2016",1h25m,AnonymousContent,,,,
5373,Iron Man 3,79%,78%,PG-13(IntenseSci-FiAction/Violence|BriefSuggestiveContent),"action,fantasy,adventure,scifi",English,ShaneBlack,KevinFeige,"DrewPearce,ShaneBlack","May3,2013 wide","Nov22,2015",2h10m,MarvelStudios,,,$409.0M,MarvelCinematicUniverse
5374,Epic,65%,65%,PG(MildAction|BriefRudeLanguage|SomeScaryImages),"comedy,animation,action,adventure,kidsandfamily,fantasy",English,ChrisWedge,"LoriForte,JerryDavis","JamesV.Hart,WilliamJoyce,DanShere,TomJ.Astle,MattEmber","May24,2013 wide","Nov19,2015",1h43m,BlueSkyStudios,,"DolbyAtmos,Datasat,SDDS",$107.5M,
5375,Inbred,25%,29%,R(SomeNudity|PervasiveLanguage|Gore|StrongSadisticHorrorViolenc),"comedy,horror",English,AlexChandon,,AlexChandon,,"Dec5,2016",1h34m,,,,,
5376,Call Me Kuchu,98%,89%,,"documentary,drama",English,"KatherineFairfaxWright,MalikaZouhali-Worrall",MalikaZouhali-Worrall,,"Jun14,2013 limited","Aug10,2016",1h27m,Cinedigm,,,$7.3K,
5377,Simon Killer,77%,51%,,drama,English,AntonioCampos,"SeanDurkin,JoshMond,MattPalmieri",AntonioCampos,"Apr5,2013 limited","Apr6,2017",1h45m,,,,$21.3K,
5378,My Brother The Devil,90%,70%,,"crime,drama",English(UnitedKingdom),SallyElHosaini,"GayleGriffiths,JuliaGodzinskaya,MichaelSackler","SallyElHosaini,AymenHamdouchi","Mar22,2013 limited","Nov30,2016",1h51m,"RooksNestEntertainment,Film-Clinic",,,$10.3K,
5379,An Oversimplification Of Her Beauty,82%,59%,,"romance,comedy,drama",English,TerenceNance,"AndrewCorkin,TerenceNance,JamesBartlett",TerenceNance,"Apr26,2013 limited","Aug10,2016",1h24m,,,,$66.0K,
5380,Room 237,94%,55%,,documentary,English,RodneyAscher,TimKirk,,"Mar29,2013 limited","Nov1,2016",1h42m,HighlandParkClassics,,,$259.8K,
5381,The Bling Ring,59%,33%,R(SomeSexualReferences|Language|TeenDrugandAlcoholUse),"crime,comedy,drama",English,SofiaCoppola,"SofiaCoppola,RomanCoppola,YoureeHenley",SofiaCoppola,"Jun14,2013 limited","Aug30,2016",1h30m,"AmericanZoetrope,NalaFilms",,,$5.8M,
5382,Gimme The Loot,91%,65%,,"crime,drama",English,AdamLeon,"NatalieDifford,JamundWashington,DominicBuchanan",AdamLeon,"Mar22,2013 limited","Apr6,2017",1h21m,,,,$97.8K,
5383,Laurence Anyways,84%,79%,,"romance,drama",French(Canada),XavierDolan,"NathanaëlKarmitz,LyseLafontaine",XavierDolan,,"May23,2017",2h39m,MK2Productions,,,,
5384,Augustine,73%,52%,,drama,French(Canada),AliceWinocour,"IsabelleMadelaine,EmilieTisné",AliceWinocour,"May17,2013 limited","Jun9,2016",1h41m,,,,$107.1K,
5385,Disconnect,70%,75%,R(Violence|SexualContent|Language|DrugUse|SomeGraphicNudity|SomeInvolvingTeens),drama,English,HenryAlexRubin,"MickeyLiddell,WilliamHorberg,ScottFerguson",AndrewStern,"Apr12,2013 limited","May23,2016",1h55m,WonderfulFilms,,,$1.4M,
5386,Fill The Void,89%,69%,PG(MildThematicElements|BriefSmoking),drama,Hebrew,RamaBurshtein,AssafAmir,RamaBurshtein,"May24,2013 limited","Sep7,2014",1h30m,NormaProductions,,,$1.8M,
5387,One Track Heart: The Story Of Krishna Das,67%,52%,,"music,documentary,biography",English,JeremyFrindel,"JeremyFrindel,MikeHarrop",,"May8,2013 limited","Mar22,2016",1h14m,SubstratumFilms,,,$91.2K,
5388,"Bless Me, Ultima",68%,73%,PG-13(SomeViolence|SexualReferences),"war,drama",English,CarlFranklin,"JesseBeaton,MarkJohnson,TomWilliams,SarahDiLeo",CarlFranklin,,"Feb1,2015",1h46m,"MonkeyHillFilms,GranViaProductions,MonarchPictures",Scope(2.35:1),Dolby,,
5389,Something In The Air,81%,47%,,"romance,drama",French(Canada),OlivierAssayas,"SylvieBarthet,CharlesGillibert,MarinKarmitz,NathanaëlKarmitz",OlivierAssayas,"May3,2013 limited","Apr6,2017",2h2m,"FranceTélévision,Canal+,CentreNationaldelaCinématographie(CNC),VortexSutra,France3Cinéma,LaBanquePostaleImages5,MK2Productions,Ciné+,RégionIle-de-France",,,$71.9K,
5390,The Kings Of Summer,76%,77%,R(SomeTeenDrinking|Language),"adventure,comedy,drama",English,JordanVogt-Roberts,"TylerDavidson,PeterSaraf,JohnHodges",ChrisGalletta,"May31,2013 limited","Oct1,2015",1h33m,"BigBeach,LowSparkFilms",,,$1.3M,
5391,Unfinished Song,65%,68%,PG-13(SomeSexualReferences|RudeGestures),"comedy,drama",English,PaulAndrewWilliams,"KenMarshall,PhilipMoross",PaulAndrewWilliams,"Jun21,2013 limited","Apr1,2017",1h33m,,,,$1.7M,
5392,The East,76%,64%,PG-13(SexualContent|PartialNudity|SomeDisturbingImages|ThematicElements|Violence),"adventure,mysteryandthriller,drama",English,ZalBatmanglij,"RidleyScott,MichaelCostigan,JocelynHayesSimpson,BritMarling","ZalBatmanglij,BritMarling","May31,2013 limited","Nov25,2015",1h56m,ScottFreeProductions,,,$2.3M,
5393,The Machine Which Makes Everything Disappear,64%,82%,,documentary,Georgian,TinatinGurchiani,"TinatinGurchiani,KakhaMacharashvili",TinatinGurchiani,,"Jan27,2015",1h41m,,,,,
5394,V/H/S/2,70%,51%,,"mysteryandthriller,horror",English,"SimonBarrett,JasonEisener,GarethEvans,GreggHale,EduardoSánchez,TimoTjahjanto,AdamWingard",,"SimonBarrett,JasonEisener,GarethEvans","Jul12,2013 limited","Aug10,2016",1h36m,,,,$21.4K,
5395,Java Heat,7%,28%,R(ViolenceThroughout|SexualReferences|Language),"mysteryandthriller,action",English,ConorAllyn,RobAllyn,"ConorAllyn,RobAllyn","May10,2013 limited","Dec5,2016",1h44m,MargateHouseFilms,,,,
5396,He's Way More Famous Than You,40%,45%,,comedy,English,MichaelUrie,,"HalleyFeiffer,RyanSpahn",,"Aug19,2017",1h36m,LogoliteEntertainment,,,,
5397,Behind The Candelabra,95%,71%,TVMA(S|L),"biography,romance,drama",English,StevenSoderbergh,"GregoryJacobs,SusanEkins,MichaelPolaire",RichardLaGravenese,,"Aug10,2016",1h58m,"JerryWeintraubProductions,HBOFilms",,,,
5398,"Turtle Hill, Brooklyn",60%,50%,,"comedy,drama",English,RyanGielen,HollyLynnEllis,"BrianW.Seibert,RicardoValdez",,"Mar11,2017",1h35m,"WillPorkProductions,BelieveLimited",,,,
5399,Star Trek Into Darkness,84%,89%,PG-13(IntenseSeq.ofSci-FiViolenc|IntenseSeq.ofSci-FiAction),"adventure,scifi,action,fantasy",English,J.J.Abrams,"J.J.Abrams,BryanBurk,DamonLindelof,AlexKurtzman,RobertoOrci","AlexKurtzman,RobertoOrci,DamonLindelof","May16,2013 wide","May14,2015",2h12m,BadRobot,,"DolbyAtmos,Datasat",$228.8M,StarTrek
5400,La Nouvelle Guerre Des Boutons (War Of The Buttons),25%,42%,PG-13(SomeThematicElements|Language),"adventure,drama,history",French(France),ChristopheBarratier,ThomasLangmann,,"Oct12,2012 limited","Aug10,2016",1h39m,MarsFilm,,,,
5401,Lloyd The Conqueror,80%,46%,R(Language|SexualReferences),comedy,English,MichaelPeterson,,"MichaelPeterson,AndrewHerman",,"Aug10,2016",1h35m,,,,,
5402,Peeples,38%,49%,PG-13(SexualContent|Language|DrugMaterial),romance,English,TinaGordonChism,"TylerPerry,StephanieAllain,PaulHall,OzzieAreu,MattMoore",TinaGordonChism,"May10,2013 wide","Nov21,2015",1h35m,34thStreetFilms,Scope(2.35:1),"DolbyDigital,Datasat,SDDS",$9.1M,
5403,A Fierce Green Fire,70%,62%,,documentary,English,MarkKitchell,MarkKitchell,TomTurner,"Mar1,2013 limited","Mar25,2017",1h41m,,,,$29.6K,
5404,Wish You Were Here,71%,49%,R(Language|BriefSexuality|SomeDrugContent|Violence),"mysteryandthriller,drama",English,KieranDarcy-Smith,AngieFielder,"KieranDarcy-Smith,FelicityPrice","Jun7,2013 limited","Aug10,2016",1h33m,"AquariusFilms,Blue-TongueFilms",,DolbyDigital,$45.3K,
5405,Chasing Ice,96%,85%,PG-13(BriefStrongLanguage),"documentary,biography",English,JeffOrlowski,"JerryAronson,PaulaDupréPesmen,JeffOrlowski",,"Nov9,2012 limited","Aug10,2016",1h14m,"Exposure,DiamondDocs",,,,
5406,Electric Man,20%,55%,,"mysteryandthriller,action,comedy,drama",English,DavidBarras,Ellen-RaissaJackson,"DavidBarras,ScottMacKay",,"Feb25,2017",1h38m,,,,,
5407,Somebody Up There Likes Me,68%,50%,,comedy,English,BobByington,"HansGraffunder,NickOfferman",BobByington,,"Aug10,2016",1h15m,SomebodytheMovieLLC,,,$83.8K,
5408,War Witch,94%,78%,,"war,drama",French(Canada),KimNguyen,"PierreEven,Marie-ClaudePoulin",KimNguyen,"Mar1,2013 limited","May21,2016",1h29m,,,,$37.9K,
5409,Sassy Pants,50%,48%,R(Language|SomeSexualReferences),comedy,English,ColeySohn,"PavlinaHatoupis,AdamWilkins",ColeySohn,,"Sep10,2013",1h27m,"MinistryofContent,SpruceStreetFilms,SassyPIctures",,,,
5410,Ping Pong,95%,79%,,documentary,English,HughHartford,AnsonHartford,,,"Mar24,2016",1h20m,,,,,
5411,After Lucia,86%,76%,,drama,Spanish,MichelFranco,"MarcoPoloConstandse,MichelFranco,AlexisFridman,EliasMenasse",MichelFranco,,"Oct31,2016",1h33m,,,,,
5412,Three Worlds,38%,46%,,drama,French(Canada),CatherineCorsini,FabienneVonier,"CatherineCorsini,BenoîtGraffin",,"Feb11,2017",1h40m,,,,$4.0K,
5413,The We And The I,70%,48%,,drama,English,MichelGondry,"GeorgesBermann,JulieFong,RaffiAdlan","MichelGondry,JeffreyGrimshaw,PaulProch","Mar8,2013 limited","Nov17,2016",1h43m,Partizan,,,$28.3K,
5414,In The Fog,87%,60%,,"war,drama",Russian,SergeyLoznitsa,"JoostdeVries,HeinoDeckert,VilnisKalnaellis,ValentinaMikhalyova",SergeyLoznitsa,,"Aug10,2016",2h7m,,,,$11.7K,
5415,Radio Unnameable,100%,64%,,documentary,English,"PaulLovelace,JessicaWolfson","PaulLovelace,JessicaWolfson",,"Sep19,2012 limited","Mar25,2016",1h31m,"LostFootageFilms,TwelveO'ClockFilms",,,$24.0K,
5416,Shanghai Calling,53%,56%,PG-13(SexualReferences|SomeLanguage),romance,English,DanielHsia,,DanielHsia,,"Mar27,2017",1h39m,"BeijingFilmStudio,Relativity",,,$10.4K,
5417,Petunia,20%,36%,,"comedy,drama",English,AshChristian,"ThoraBirch,AshChristian,JordanYaleLevine","AshChristian,TheresaBennett",,"Aug10,2016",1h48m,,,,,
5418,Cockneys Vs Zombies,76%,45%,,"action,comedy,horror",English,MatthiasHoene,"MarcelloCiorciolini,MarkLane","JamesMoran,LucasRoche","Aug2,2013 limited","Sep12,2016",1h28m,KintopPictures,,,,
5419,Greetings From Tim Buckley,72%,46%,,drama,English,DanielAlgrant,"PatrickMillingSmith,FrederickZollo","DanielAlgrant,DavidBrendel,EmmaSheanshang","May3,2013 limited","May23,2016",1h39m,ArcherGray,,,,
5420,Love Is All You Need,75%,59%,R(Nudity|BriefSexuality|SomeLanguage),romance,Danish,SusanneBier,"RémiBurah,LionelloCerri,SisseGraumJørgensen,MariaKöpf","SusanneBier,AndersThomasJensen","May3,2013 limited","Jan25,2015",1h56m,ZentropaEntertainments,,DolbyDigital,$1.6M,
5421,Drift,32%,56%,R(Language|DrugContent),drama,English,"BenNott,MorganO'Neill","TimDuffy,MicheleBennett,MylesPollard",MorganO'Neill,"Aug2,2013 limited","May8,2014",1h53m,World-Wide-MindFilms,,,,
5422,Blood,55%,33%,,"crime,mysteryandthriller,drama",English,NickMurphy,"PippaHarris,NicolaShindler,NickLaws",BillGallagher,,"Jan1,2017",1h35m,"BBCFilms,IMGlobal,BritishFilmInstitute",,DolbyDigital,,
5423,I'm So Excited!,49%,37%,R(DrugUse|CrudeReferences|StrongSexualContent),comedy,Spanish(Spain),PedroAlmodóvar,"AgustínAlmodóvar,EstherGarcía",PedroAlmodóvar,"Jun28,2013 limited","Jan29,2014",1h29m,ElDeseoS.A.,,,$1.4M,
5424,This Is Martin Bonner,93%,70%,R(BriefSexuality|SomeLanguage),drama,English,ChadHartigan,"CherieSaulter,AaronSchnobrich",ChadHartigan,"Jun21,2013 limited","Aug10,2016",1h23m,600WestProductions,,,,
5425,Frankenstein's Army,56%,40%,R(Language|GrislyImages|BloodyViolence),"action,horror",English,RichardRaaphorst,"NateBolotin,ToddBrown,NickJongerius,DanielKoefoed",MiguelTejada-Flores,"Jul26,2013 limited","Jan20,2017",1h24m,"DarkSkyFilms,XYZFilms",,,,
5426,Phil Spector,50%,32%,TVMA,"biography,drama",English,DavidMamet,MichaelHausman,DavidMamet,,"Aug10,2016",1h33m,HBOFilms,,,,
5427,Desperate Acts Of Magic,60%,70%,,comedy,English,"TammyCaplan,JoeTylerGold","TammyCaplan,JoeTylerGold",JoeTylerGold,,"Aug10,2016",1h26m,GoldCapFilms,,,,
5428,Hammer Of The Gods,29%,69%,R(Language|BloodyViolence|SexualReferences|SomeNudity),"drama,action,history",English,FarrenBlackburn,"RupertPreston,HubertaVonLiel",MatthewRead,"Jul5,2013 limited","Aug10,2016",1h39m,VertigoFilms,,,$438,
5429,And Now A Word From Our Sponsor,10%,25%,,"comedy,drama",English,ZackBernbaum,,MichaelHamilton-Wright,"May10,2013 limited","Nov9,2016",1h27m,,,,,
5430,Sharknado,78%,33%,TV14(L|V),"adventure,horror,scifi,comedy,action,mysteryandthriller",English,AnthonyC.Ferrante,"DavidMichaelLatt,GeoffreyMark",ThunderLevin,,"Oct11,2016",1h30m,"TheAsylum,SouthwardFilms",,,,Sharknado
5431,Scary Movie 5,4%,38%,PG-13(CrudeandSexualContent|ComicViolenceandGore|Language|PartialNudity|SomeDrugMaterial),comedy,English,MalcolmD.Lee,"DavidZucker,PhilDornfeld","DavidZucker,PatProft","Apr12,2013 wide","Jan14,2017",1h25m,"BradGreyProductions,DimensionFilms",,,$32.0M,
5432,Blancanieves,95%,84%,PG-13(SomeViolentContent|Sexuality),"fantasy,drama",Spanish,PabloBerger,"PabloBerger,IbónCormenzana,JérômeVidal",PabloBerger,,"Aug10,2016",1h44m,"Canal+España,BanquePostaleImage4,ArcadiaMotionPictures",,,$218.8K,
5433,Stories We Tell,94%,79%,PG-13(Sexuality|BriefStrongLanguage|Smoking|ThematicElements),documentary,English,SarahPolley,,,"May10,2013 limited","Dec20,2015",1h48m,NationalFilmBoardofCanada,,,$1.6M,
5434,Passione,89%,62%,,documentary,Italian,JohnTurturro,,,"Jun22,2011 limited","Feb11,2017",1h30m,,,,$258.2K,
